⺮	ju<
加里肋亞海	cia li leih ia hai
加重	cia jug
加重語氣	cia jug gy ki
加錢	cia tsian
加長	cia txag
加餐	cia tsan
加麻大	cia ma da
加點	cia diam
劣	lieh>
劣勢	lieh x
劣幣驅逐良幣	lieh bi ky juh liag bi
劣汰	lieh tai
劣等	lieh dg
劣紳	lieh xn
劣質	lieh j
劣跡	lieh zih
劣跡斑斑	lieh zih ban ban
劦	hieh<
劦	lieh>
助	ju>
助一臂之力	ju ih bi j lih
助人為快樂之本	ju rn ui kuai le j bn
助人為樂	ju rn ui le
助劑	ju zi
助力	ju lih
助動詞	ju dug ts
助動車	ju dug txe
助威	ju ui
助學貸款	ju hyeh dai kuan
助學金	ju hyeh cim
助戰	ju jan
助手	ju xeu
助手席	ju xeu sih
助推	ju tui
助推火箭	ju tui hue zian
助攻	ju cug
助教	ju ciau
助殘	ju tsan
助焊劑	ju han zi
助熔劑	ju rug zi
助理	ju li
助產	ju txan
助產士	ju txan x
助益	ju ih
助眠	ju mian
助紂為虐	ju jeu ui nyeh
助聽器	ju tig ki
助興	ju hig
助記方法	ju ci fag fah
助記符	ju ci fu
助詞	ju ts
助跑	ju pau
助選	ju syan
助長	ju jag
助陣	ju jn
努	nu\
努	ui\
努克	nu keh
努出	nu txu
努力	nu lih
努力以赴	nu lih i fu
努勁兒	nu cin r
努嘴	nu zui
努嘴兒	nu zui r
努庫阿洛法	nu ku a lueh fah
努比亞	nu bi ia
努爾哈赤	nu er hah txh
努瓜婁發	nu cua leu fah
努瓦克肖特	nu gua keh siau teh
努納武特	nu nah u teh
努美阿	nu mei a
劫	cieh<
劫	cuan>
劫匪	cieh fei
劫囚	cieh tsiu
劫奪	cieh dueh
劫富濟貧	cieh fu zi pin
劫寨	cieh jai
劫後餘生	cieh heu y xg
劫持	cieh tx
劫持者	cieh tx je
劫掠	cieh lye
劫數	cieh xu
劫數難逃	cieh xu nan tau
劫機	cieh ci
劫殺	cieh xa
劫波	cieh bue
劫洗	cieh si
劫營	cieh ig
劫獄	cieh gyh
劫色	cieh seh
劫車	cieh txe
劫道	cieh dau
劫難	cieh nan
劫餘	cieh y
劬	ci<
劬	ky<
劭	xau>
劭	zun>
劮	ih>
労	lau<
劵	cyan>
劵	kyan>
効	hiau>
劻	kuag/
劼	cieh<
劼	jg>
劾	he<
劾	hiag\
勁	cig>
勁	cin>
勁	hi>
勁兒	cin r
勁力	cin lih
勁卒	cig zuh
勁吹	cig txui
勁射	cig xe
勁峭	cig tsiau
勁度係數	cin du hi xu
勁急	cig cih
勁拔	cig bah
勁挺	cig tig
勁敵	cig dih
勁旅	cig ly
勁烈	cig lieh
勁爆	cig bau
勁直	cig jh
勁舞	cig u
勁草	cig tsau
勁頭	cin teu
勁風	cig fg
勃	bueh<
勃列日涅夫	bueh lie rh nieh fu
勃利	bueh li
勃利縣	bueh li hian
勃勃	bueh bueh
勃固	bueh cu
勃固山脈	bueh cu xan maih
勃固河	bueh cu he
勃拉姆斯	bueh lah mu s
勃朗寧	bueh lag nig
勃朗峰	bueh lag fg
勃海	bueh hai
勃然	bueh ran
勃然大怒	bueh ran da nu
勃然變色	bueh ran bian seh
勃發	bueh fah
勃興	bueh hig
勃艮第	bueh cn di
勃蘭登堡	bueh lan dg bau
勃起	bueh ki
勃起功能障礙	bueh ki cug ng jag gai
勄	min\
勅	txh>
勇	yg\
勇力	yg lih
勇士	yg x
勇往前進	yg uag tsian zin
勇往直前	yg uag jh tsian
勇悍	yg han
勇敢	yg cam
勇於	yg y
勇武	yg u
勇氣	yg ki
勇氣可嘉	yg ki ke cia
勇決	yg cyeh
勇猛	yg mg
勇略	yg lyeh
勈	yg\
勉	mian\
勉力	mian lih
勉力而為	mian lih er ui
勉勉強強	mian mian kiag kiag
勉勵	mian li
勉強	mian kiag
勉為其難	mian ui ki nan
勉縣	mian hian
勌	cyan>
勍	kig<
勐	mg\
勐海	mg hai
勐海縣	mg hai hian
勐臘	mg lah
勐臘縣	mg lah hian
勑	tx>
勒	leh>
勒	leih/
勒令	leh lig
勒克斯	leh keh s
勒勒車	leih leih txe
勒哈費爾	leh hah fei er
勒威耶	leh ui ie
勒戒	leh cie
勒斃	leih bi
勒斯波斯	leh s bue s
勒斯波斯島	leh s bue s dau
勒死	leih s
勒殺	leih xa
勒索	leh sueh
勒索罪	leh sueh zui
勒索軟件	leh sueh ruan cian
勒維夫	leh ui fu
勒維納斯	leh ui nah s
勒緊	leih cin
勒緊褲帶	leih cin ku dai
勒脖子	leih bueh z
勒逼	leh bih
勒馬	leh ma
勒龐	leh pag
勔	mian\
動	dug>
動不動	dug bu dug
動不動就生氣	dug bu dug ziu xg ki
動亂	dug luan
動人	dug rn
動人心魄	dug rn sim pueh
動作	dug zue
動作片	dug zue pian
動保	dug bau
動力	dug lih
動力反應堆	dug lih fan ig dui
動力學	dug lih hyeh
動力系統	dug lih hi tug
動口	dug keu
動名詞	dug mig ts
動向	dug hiag
動員	dug yan
動員令	dug yan lig
動問	dug un
動嘴	dug zui
動嘴皮	dug zui pi
動嘴皮兒	dug zui pi r
動嘴皮子	dug zui pi z
動因	dug in
動圖	dug tu
動土	dug tu
動容	dug rug
動工	dug cug
動平衡	dug pig hg
動彈	dug tan
動彈不得	dug tan bu deh
動心	dug sim
動怒	dug nu
動情	dug tsig
動情期	dug tsig ki
動情激素	dug tsig ci su
動情素	dug tsig su
動感	dug cam
動感單車	dug cam dan txe
動態	dug tai
動態助詞	dug tai ju ts
動態圖形	dug tai tu hig
動態存儲器	dug tai tsun txu ki
動態影像	dug tai ig siag
動態更新	dug tai cg sin
動態清零	dug tai tsig lig
動態網頁	dug tai uag ieh
動態鏈接庫	dug tai lian zieh ku
動態雕塑	dug tai diau su
動手	dug xeu
動手動腳	dug xeu dug ciauh
動手腳	dug xeu ciauh
動手術	dug xeu xuh
動搖	dug iau
動效	dug hiau
動植物	dug j uh
動機	dug ci
動武	dug u
動毫毛	dug hau mau
動氣	dug ki
動漫	dug man
動物	dug uh
動物分類	dug uh fn lei
動物園	dug uh yan
動物學	dug uh hyeh
動物性	dug uh sig
動物性名詞	dug uh sig mig ts
動物性飼料	dug uh sig s liau
動物毒素	dug uh duh su
動物油	dug uh iu
動物澱粉	dug uh dian fn
動物界	dug uh cie
動物脂肪	dug uh j fag
動物莊園	dug uh juag yan
動物農場	dug uh nug txag
動產	dug txan
動用	dug yg
動畫	dug hua
動畫片	dug hua pian
動盪	dug dag
動真格	dug jn ceh
動筆	dug bih
動粗	dug tsu
動聽	dug tig
動肝火	dug can hue
動能	dug ng
動能車	dug ng txe
動脈	dug maih
動脈瘤	dug maih liu
動脈硬化	dug maih gig hua
動脈粥樣硬化	dug maih jeuh iag gig hua
動腦	dug nau
動腦筋	dug nau cin
動臥	dug gue
動蕩	dug dag
動見觀瞻	dug cian cuan jam
動覺	dug cye
動詞	dug ts
動詞結構	dug ts cieh ceu
動詞重疊	dug ts txug dieh
動議	dug gi
動賓式	dug bin xh
動身	dug xn
動車	dug txe
動輒	dug jeh
動輒得咎	dug jeh deh ciu
動量	dug liag
動量詞	dug liag ts
動靜	dug zig
動魄	dug pueh
動魄驚心	dug pueh cig sim
動點	dug diam
勖	hy>
勗	hyh>
勘	kam/
勘定	kam dig
勘察	kam txah
勘察加	kam txah cia
勘察加半島	kam txah cia ban dau
勘探	kam tam
勘查	kam txa
勘正	kam jg
勘測	kam tseh
勘界	kam cie
勘破	kam pue
勘誤	kam gu
勘誤表	kam gu biau
勘驗	kam giam
務	e>
務	u>
務實	u xh
務川仡佬族苗族自治縣	u txuan ceh lau zuh miau zuh z j hian
務川縣	u txuan hian
務川自治縣	u txuan z j hian
務工	u cug
務必	u bih
務期	u ki
務虛	u hy
務請	u tsig
務農	u nug
勛	hyn/
勛	ju\
勛業	hyn gieh
勛章	hyn jag
勝	mg\
勝	xg>
勝之不武	xg j bu u
勝仗	xg jag
勝任	xg rm
勝任能力	xg rm ng lih
勝似	xg s
勝出	xg txu
勝利	xg li
勝利在望	xg li zai uag
勝利者	xg li je
勝地	xg di
勝敗	xg bai
勝景	xg cig
勝率	xg ly
勝算	xg suan
勝者	xg je
勝者王侯敗者寇	xg je uag heu bai je keu
勝者王侯敗者賊	xg je uag heu bai je zeih
勝訴	xg su
勝負	xg fu
勝過	xg cue
勝選	xg syan
勞	lau<
勞什子	lau xh z
勞作	lau zue
勞倦	lau cyan
勞倫斯	lau lun s
勞傷	lau xag
勞力	lau lih
勞力士	lau lih x
勞動	lau dug
勞動人民	lau dug rn min
勞動保險	lau dug bau hiam
勞動力	lau dug lih
勞動合同	lau dug heh tug
勞動報	lau dug bau
勞動改造	lau dug cai zau
勞動教養	lau dug ciau iag
勞動新聞	lau dug sin un
勞動模範	lau dug mue fam
勞動營	lau dug ig
勞動節	lau dug zieh
勞動者	lau dug je
勞動能力	lau dug ng lih
勞務	lau u
勞務交換	lau u ciau huan
勞務人員	lau u rn yan
勞務合同	lau u heh tug
勞務市場	lau u x txag
勞勞叨叨	lau lau dau dau
勞埃德	lau ai deh
勞委會	lau ui hui
勞工	lau cug
勞役	lau ih
勞心	lau sim
勞心勞力	lau sim lau lih
勞心苦思	lau sim ku s
勞拉西泮	lau lah si pan
勞損	lau sun
勞改	lau cai
勞改營	lau cai ig
勞教	lau ciau
勞教所	lau ciau sue
勞斯萊斯	lau s lai s
勞方	lau fag
勞模	lau mue
勞民傷財	lau min xag tsai
勞煩	lau fan
勞燕分飛	lau ian fn fei
勞瘵	lau jai
勞碌	lau luh
勞神	lau xn
勞累	lau lei
勞而無功	lau er u cug
勞苦	lau ku
勞資	lau z
勞資關係	lau z cuan hi
勞逸	lau ih
勞逸結合	lau ih cieh heh
勞雇	lau cu
勞雇關係	lau cu cuan hi
勞頓	lau dun
勞駕	lau cia
募	hi/
募	mu>
募化	mu hua
募捐	mu cyan
募款	mu kuan
募緣	mu yan
募集	mu zih
勠	lu>
勠力	lu lih
勢	x>
勢不兩立	x bu liag lih
勢不可擋	x bu ke dag
勢不可當	x bu ke dag
勢利	x li
勢利小人	x li siau rn
勢利眼	x li gian
勢力	x lih
勢單力薄	x dan lih bueh
勢在必得	x zai bih deh
勢在必行	x zai bih hig
勢均力敵	x cyn lih dih
勢如破竹	x ru pue juh
勢子	x z
勢必	x bih
勢態	x tai
勢成騎虎	x txg ki hu
勢族	x zuh
勢能	x ng
勢要	x iau
勢阱	x zig
勢降	x ciag
勢頭	x teu
勣	ziah>
勣	zih/
勣	zih>
勤	kin<
勤	txag<
勤儉	kin ciam
勤儉務實	kin ciam u xh
勤儉建國	kin ciam cian cueh
勤儉持家	kin ciam tx cia
勤儉樸實	kin ciam pu xh
勤儉樸素	kin ciam pu su
勤儉節約	kin ciam zieh ye
勤儉辦企業	kin ciam ban ki gieh
勤儉辦學	kin ciam ban hyeh
勤儉辦社	kin ciam ban xe
勤則不匱	kin zeh bu kui
勤力	kin lih
勤勉	kin mian
勤務	kin u
勤務兵	kin u big
勤務員	kin u yan
勤勞	kin lau
勤勞致富	kin lau j fu
勤勤	kin kin
勤勤懇懇	kin kin kn kn
勤奮	kin fn
勤學苦練	kin hyeh ku lian
勤密	kin mih
勤工儉學	kin cug ciam hyeh
勤快	kin kuai
勤懇	kin kn
勤政廉政	kin jg liam jg
勤樸	kin pu
勤王	kin uag
勤苦	kin ku
勤謹	kin cin
勤雜	kin zah
勦	txau/
勦	ziau\
勧	kyan>
勩	i>
勯	dan/
勰	hieh<
勱	mai>
勲	hyn/
勳	hyn/
勳爵	hyn zyeh
勳績	hyn zih
勴	ly>
勵	li>
勵志	li j
勵志哥	li j ce
勵精圖治	li zig tu j
勷	rag<
勸	kyan>
勸勉	kyan mian
勸動	kyan dug
勸化	kyan hua
勸告	kyan cau
勸和	kyan he
勸善懲惡	kyan xan txg e
勸導	kyan dau
勸慰	kyan ui
勸戒	kyan cie
勸教	kyan ciau
勸服	kyan fuh
勸架	kyan cia
勸解	kyan cie
勸誘	kyan iu
勸誡	kyan cie
勸說	kyan xue
勸課	kyan ke
勸諫	kyan cian
勸農	kyan nug
勸農使	kyan nug x
勸退	kyan tui
勸酒	kyan ziu
勸阻	kyan zu
勸駕	kyan cia
勹	bau/
勺	xauh<
勺嘴鷸	xauh zui yh
勺子	xauh z
勺雞	xauh ci
勻	yn<
勻實	yn xh
勻整	yn jg
勻淨	yn zig
勻溜	yn liu
勻稱	yn txn
勻速	yn suh
勾	ceu/
勾	ceu>
勾三搭四	ceu sam dah s
勾人	ceu rn
勾兌	ceu dui
勾出	ceu txu
勾劃	ceu huah
勾勒	ceu leh
勾引	ceu in
勾心鬥角	ceu sim deu ciauh
勾手	ceu xeu
勾拳	ceu kyan
勾搭	ceu dah
勾欄	ceu lan
勾玉	ceu gyh
勾留	ceu liu
勾畫	ceu hua
勾當	ceu dag
勾破	ceu pue
勾結	ceu cieh
勾縫	ceu fg
勾聯	ceu lian
勾股定理	ceu cu dig li
勾肩搭背	ceu cian dah bei
勾芡	ceu kiam
勾號	ceu hau
勾走	ceu zeu
勾起	ceu ki
勾踐	ceu zian
勾通	ceu tug
勾連	ceu lian
勾選	ceu syan
勾銷	ceu siau
勾闌	ceu lan
勾魂	ceu hun
勿	heh>
勿	uh>
勿忘國恥	uh uag cueh tx
勿忘我	uh uag gue
勿求人	uh kiu rn
勿謂言之不預	uh ui gian j bu y
匃	cai>
匄	cai>
包	bau/
包	ie>
包乘	bau txg
包乘制	bau txg j
包乘組	bau txg zu
包乾	bau can
包乾兒	bau can r
包乾制	bau can j
包二奶	bau er nai
包伙	bau hue
包住	bau ju
包價	bau cia
包價旅遊	bau cia ly iu
包公	bau cug
包剪錘	bau zian txui
包剿	bau ciau
包包	bau bau
包吃包住	bau txh bau ju
包含	bau ham
包商	bau xag
包囊	bau nag
包圍	bau ui
包圓兒	bau yan r
包在我身上	bau zai gue xn xag
包埋	bau mai
包場	bau txag
包夜	bau ie
包夾	bau ciah
包子	bau z
包子有肉不在褶上	bau z iu reuh bu zai jeh xag
包容	bau rug
包容心	bau rug sim
包封	bau fg
包層	bau tsg
包工	bau cug
包工頭	bau cug teu
包巾	bau cin
包庇	bau bi
包廂	bau siag
包待制	bau dai j
包心菜	bau sim tsai
包房	bau fag
包扎	bau zah
包打天下	bau da tian hia
包承制	bau txg j
包承組	bau txg zu
包抄	bau txau
包括	bau kueh
包拯	bau jg
包探	bau tam
包換	bau huan
包攬	bau lam
包攬詞訟	bau lam ts sug
包書皮	bau xu pi
包月	bau gyeh
包柔氏螺旋體	bau reu x lue syan ti
包機	bau ci
包氏螺旋體	bau x lue syan ti
包河	bau he
包河區	bau he ky
包治百病	bau j baih big
包活	bau hueh
包涵	bau ham
包漿	bau ziag
包爾	bau er
包產	bau txan
包產到戶	bau txan dau hu
包產到戶制	bau txan dau hu j
包皮	bau pi
包皮環切	bau pi huan tsie
包皮環切術	bau pi huan tsie xuh
包票	bau piau
包租	bau zu
包穀	bau cuh
包管	bau cuan
包米	bau mi
包粟	bau suh
包紮	bau zah
包羅	bau lue
包羅萬象	bau lue uan siag
包舉	bau cy
包船	bau txuan
包茅	bau mau
包荒	bau huag
包莖	bau cig
包菜	bau tsai
包藏	bau tsag
包藏禍心	bau tsag hue sim
包衣	bau i
包衣種子	bau i jug z
包袋	bau dai
包被	bau bei
包袱	bau fu
包袱底兒	bau fu di r
包袱皮兒	bau fu pi r
包裝	bau juag
包裝物	bau juag uh
包裝紙	bau juag j
包裹	bau cue
包豪斯	bau hau s
包賠	bau pei
包身工	bau xn cug
包車	bau txe
包辦	bau ban
包辦代替	bau ban dai ti
包辦婚姻	bau ban hun in
包退	bau tui
包退換	bau tui huan
包郵	bau iu
包里斯	bau li s
包金	bau cim
包銀	bau gin
包銷	bau siau
包長	bau txag
包間	bau cian
包青天	bau kig tian
包頭	bau teu
包頭市	bau teu x
包飯	bau fan
包餃子	bau ciau z
包養	bau iag
包龍圖	bau lug tu
匆	jeu/
匆	tsug/
匆促	tsug tsuh
匆匆	tsug tsug
匆卒	tsug tsuh
匆忙	tsug mag
匆猝	tsug tsuh
匆遽	tsug cy
匈	cian/
匈	hyg/
匈奴	hyg nu
匈牙利	hyg gia li
匈牙利語	hyg gia li gy
匈語	hyg gy
匉	pg/
匊	cyh/
匊	pan>
匋	tau<
匍	hui/
匍	pu<
匍伏	pu fu
匍匐	pu fuh
匍匐前進	pu fuh tsian zin
匍匐莖	pu fuh cig
匏	mig<
匏	pau<
匐	fuh<
匐	liuh>
匑	cug/
匔	cug/
匕	bi\
匕首	bi xeu
化	hua/
化	hua>
化作	hua zue
化凍	hua dug
化合	hua heh
化合價	hua heh cia
化合物	hua heh uh
化名	hua mig
化外	hua guai
化妝	hua juag
化妝品	hua juag pim
化妝室	hua juag xh
化妝師	hua juag x
化妝水	hua juag xui
化妝舞會	hua juag u hui
化子	hua z
化學	hua hyeh
化學信息素	hua hyeh sin sih su
化學元素	hua hyeh gyan su
化學分析	hua hyeh fn sih
化學劑量計	hua hyeh zi liag ci
化學反應	hua hyeh fan ig
化學品	hua hyeh pim
化學品安全技術說明書	hua hyeh pim an tsyan ci xuh xue mig xu
化學家	hua hyeh cia
化學工業	hua hyeh cug gieh
化學工程	hua hyeh cug txg
化學師	hua hyeh x
化學式	hua hyeh xh
化學彈藥	hua hyeh dan iauh
化學性	hua hyeh sig
化學性質	hua hyeh sig j
化學成分	hua hyeh txg fn
化學戰	hua hyeh jan
化學戰劑	hua hyeh jan zi
化學戰鬥部	hua hyeh jan deu bu
化學方程式	hua hyeh fag txg xh
化學武器	hua hyeh u ki
化學比色法	hua hyeh bi seh fah
化學治療	hua hyeh j liau
化學激光器	hua hyeh ci cuag ki
化學物	hua hyeh uh
化學療法	hua hyeh liau fah
化學系	hua hyeh hi
化學纖維	hua hyeh siam ui
化學能	hua hyeh ng
化學變化	hua hyeh bian hua
化學鍵	hua hyeh cian
化學需氧量	hua hyeh sy iag liag
化州	hua jeu
化州市	hua jeu x
化工	hua cug
化工廠	hua cug txag
化干戈為玉帛	hua can ce ui gyh bueh
化德	hua deh
化德縣	hua deh hian
化整為零	hua jg ui lig
化敵為友	hua dih ui iu
化日	hua rh
化武	hua u
化油器	hua iu ki
化為泡影	hua ui pau ig
化為烏有	hua ui u iu
化用	hua yg
化痰	hua tam
化療	hua liau
化石	hua xh
化石燃料	hua xh ran liau
化石群	hua xh kyn
化糞池	hua fn tx
化約	hua ye
化緣	hua yan
化纖	hua siam
化肥	hua fei
化腐朽為神奇	hua fu hiu ui xn ki
化膿	hua nug
化膿性	hua nug sig
化蛹	hua yg
化裝	hua juag
化解	hua cie
化身	hua xn
化開	hua kai
化險為夷	hua hiam ui i
化驗	hua giam
化齋	hua jai
北	beih\
北上	beih xag
北上廣	beih xag cuag
北上廣深	beih xag cuag xm
北二外	beih er guai
北亞	beih ia
北京	beih cig
北京中醫藥大學	beih cig jug i iauh da hyeh
北京人	beih cig rn
北京南苑機場	beih cig nam yan ci txag
北京周報	beih cig jeu bau
北京咳	beih cig ke
北京國家游泳中心	beih cig cueh cia iu yg jug sim
北京國家體育場	beih cig cueh cia ti yh txag
北京外國語大學	beih cig guai cueh gy da hyeh
北京大學	beih cig da hyeh
北京大興國際機場	beih cig da hig cueh zi ci txag
北京工人體育場	beih cig cug rn ti yh txag
北京工業大學	beih cig cug gieh da hyeh
北京市	beih cig x
北京師範大學	beih cig x fam da hyeh
北京廣播學院	beih cig cuag bue hyeh yan
北京教育學院	beih cig ciau yh hyeh yan
北京日報	beih cig rh bau
北京時間	beih cig x cian
北京晚報	beih cig uan bau
北京晨報	beih cig txn bau
北京林業大學	beih cig lim gieh da hyeh
北京核武器研究所	beih cig heh u ki gian ciu sue
北京汽車製造廠有限公司	beih cig ki txe j zau txag iu hian cug s
北京烤鴨	beih cig kau iah
北京物資學院	beih cig uh z hyeh yan
北京猿人	beih cig yan rn
北京理工大學	beih cig li cug da hyeh
北京環球金融中心	beih cig huan kiu cim rug jug sim
北京產權交易所	beih cig txan kyan ciau i sue
北京癱	beih cig tan
北京科技大學	beih cig ke ci da hyeh
北京第二外國語學院	beih cig di er guai cueh gy hyeh yan
北京舞蹈學院	beih cig u dau hyeh yan
北京航空航天大學	beih cig hag kug hag tian da hyeh
北京話	beih cig hua
北京語言大學	beih cig gy gian da hyeh
北京語言學院	beih cig gy gian hyeh yan
北京週報	beih cig jeu bau
北京電影學院	beih cig dian ig hyeh yan
北京青年報	beih cig kig nian bau
北京音	beih cig im
北伐	beih fah
北伐軍	beih fah cyn
北佬	beih lau
北侖	beih lun
北侖區	beih lun ky
北倉區	beih tsag ky
北側	beih tseh
北冕座	beih mian zue
北冰洋	beih big iag
北半球	beih ban kiu
北卡羅來納	beih ka lue lai nah
北卡羅來納州	beih ka lue lai nah jeu
北印度語	beih in du gy
北叟失馬	beih seu xh ma
北史	beih x
北周	beih jeu
北噪鴉	beih zau ia
北回歸線	beih hui cui sian
北國	beih cueh
北圻	beih ki
北坡	beih pue
北埔	beih pu
北埔鄉	beih pu hiag
北塔	beih tah
北塔區	beih tah ky
北外	beih guai
北大	beih da
北大荒	beih da huag
北大西洋	beih da si iag
北大西洋公約組織	beih da si iag cug ye zu j
北威州	beih ui jeu
北安	beih an
北安市	beih an x
北安普敦	beih an pu dun
北宋	beih sug
北宋四大部書	beih sug s da bu xu
北寒帶	beih han dai
北屯	beih tun
北屯區	beih tun ky
北屯市	beih tun x
北山	beih xan
北山羊	beih xan iag
北島	beih dau
北嶽	beih gyeh
北川	beih txuan
北川縣	beih txuan hian
北川羌族自治縣	beih txuan kiag zuh z j hian
北布拉班特	beih bu lah ban teh
北師大	beih x da
北平	beih pig
北征	beih jg
北愛	beih ai
北愛爾蘭	beih ai er lan
北戴河	beih dai he
北戴河區	beih dai he ky
北投	beih teu
北投區	beih teu ky
北斗	beih deu
北斗七星	beih deu tsih sig
北斗星	beih deu sig
北斗衛星導航系統	beih deu ui sig dau hag hi tug
北斗鎮	beih deu jn
北方	beih fag
北方中杜鵑	beih fag jug du cyan
北方佬	beih fag lau
北方工業	beih fag cug gieh
北方民族大學	beih fag min zuh da hyeh
北方邦	beih fag bag
北朝	beih txau
北朝鮮	beih txau sian
北朱雀	beih ju tsyeh
北林	beih lim
北林區	beih lim ky
北柴胡	beih txai hu
北椋鳥	beih liag niau
北極	beih cih
北極光	beih cih cuag
北極圈	beih cih kyan
北極星	beih cih sig
北極熊	beih cih hyg
北極狐	beih cih hu
北極鷗	beih cih eu
北歐	beih eu
北歐航空公司	beih eu hag kug cug s
北江	beih ciag
北汽	beih ki
北洋	beih iag
北洋政府	beih iag jg fu
北洋水師	beih iag xui x
北洋系	beih iag hi
北洋軍	beih iag cyn
北洋軍閥	beih iag cyn fah
北洋陸軍	beih iag luh cyn
北派螳螂拳	beih pai tag lag kyan
北流	beih liu
北流市	beih liu x
北海	beih hai
北海公園	beih hai cug yan
北海市	beih hai x
北海艦隊	beih hai ciam dui
北海道	beih hai dau
北涼	beih liag
北港	beih cag
北港鎮	beih cag jn
北湖區	beih hu ky
北溫帶	beih un dai
北漂	beih piau
北漢	beih han
北燕	beih ian
北疆	beih ciag
北短翅鶯	beih duan tx ig
北碚	beih bei
北碚區	beih bei ky
北票	beih piau
北票市	beih piau x
北端	beih duan
北竿	beih can
北竿鄉	beih can hiag
北約	beih ye
北紅尾鴝	beih hug ui ky
北緯	beih ui
北美	beih mei
北美洲	beih mei jeu
北苑	beih yan
北荷蘭	beih he lan
北蝗鶯	beih huag ig
北角	beih ciauh
北越	beih yeh
北車	beih txe
北辰	beih txn
北辰區	beih txn ky
北達科他	beih dah ke ta
北達科他州	beih dah ke ta jeu
北邊	beih bian
北邊兒	beih bian r
北邙	beih mag
北部	beih bu
北部灣	beih bu uan
北鎮	beih jn
北鎮市	beih jn x
北長尾山雀	beih txag ui xan tsyeh
北關	beih cuan
北關區	beih cuan ky
北非	beih fei
北面	beih mian
北韓	beih han
北領地	beih lig di
北領角鴞	beih lig ciauh hiau
北馬里亞納	beih ma li ia nah
北馬里亞納群島	beih ma li ia nah kyn dau
北魏	beih gui
北鷚	beih liu
北鷹鵑	beih ig cyan
北鼻	beih bi
北齊	beih tsi
北齊書	beih tsi xu
匘	nau\
匙	tx<
匙	x*
匚	fag/
匜	i<
匝	za/
匝加利亞	za cia li ia
匝月	za gyeh
匝道	za dau
匞	ciag>
匟	kag>
匠	ziag>
匠心	ziag sim
匠心獨運	ziag sim duh yn
匡	kuag/
